Gene,Accession,Description,Mean_Group1,Mean_Group2,Log2FC,P_value,T_statistic,Cohens_d,FDR
ITGA1,P56199,Integrin alpha-1 OS=Homo sapiens OX=9606 GN=ITGA1 PE=1 SV=2,22.68487493379178,21.296726732904595,1.3881482008871835,8.345120343922191e-05,4.232222055099018,1.092755035790015,0.0030915759785739654
NAA10,P41227,N-alpha-acetyltransferase 10 OS=Homo sapiens OX=9606 GN=NAA10 PE=1 SV=1,18.72840300602104,17.508551413811315,1.219851592209725,0.00040968333147726435,3.75039238223228,0.9683471492085853,0.01087709245072137
MTARC2,Q969Z3,Mitochondrial amidoxime reducing component 2 OS=Homo sapiens OX=9606 GN=MTARC2 PE=1 SV=1,16.408918662931978,14.124011714215696,2.284906948716282,3.63344888059293e-05,4.474299882609586,1.1552592620856483,0.0015231800175748785
HMOX1,P09601,Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1,22.88223688633062,22.072959112096463,0.8092777742341575,2.1834270248466201e-10,7.671056527670727,1.9806582786322944,1.83063118451614e-08
KRT13,K7EMD9,Keratin 13 (Fragment) OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=1,18.382105109582962,20.84893185760659,-2.466826748023628,9.44720412548677e-15,-10.322518358965047,-2.6652627796794626,1.5049396171900426e-12
UBC,F5H2Z3,Ubiquitin C (Fragment) OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=1,17.95515174453467,18.977400844565818,-1.0222491000311464,0.00020047457017666567,-3.970245535584642,-1.0251129893115778,0.006261882162577027
KRT86,O43790,"Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1",19.427089630822927,18.020761627002937,1.40632800381999,0.00011340063340851527,4.1414196797959635,1.0693099633003613,0.003927113239560105
PCSK9,A0AA34QVH0,Proprotein convertase subtilisin/kexin type 9 OS=Homo sapiens OX=9606 GN=PCSK9 PE=1 SV=1,22.885355858769945,24.679809699288402,-1.7944538405184574,6.067258587468047e-07,-5.603995617575175,-1.4469454466058669,3.86605717193464e-05
RHOF,Q9HBH0,Rho-related GTP-binding protein RhoF OS=Homo sapiens OX=9606 GN=RHOF PE=1 SV=1,25.42796095620852,22.886154485017034,2.541806471191485,2.4084929933823675e-19,13.355980179508574,3.4484992538342034,6.394548897430186e-17
YWHAH,Q04917,14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4,23.223350351776222,22.359900835320193,0.8634495164560292,1.4995815441778701e-06,5.3607966454950295,1.3841517420271223,8.531547856697669e-05
IGLV3-9,A0A075B6K5,Immunoglobulin lambda variable 3-9 OS=Homo sapiens OX=9606 GN=IGLV3-9 PE=1 SV=1,23.788815885188573,23.370105485299508,0.4187103998890649,7.93070335037656e-05,4.247219814957054,1.0966274407340546,0.003008002485035681
PSME1,Q06323,Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1,22.64697938721323,23.806360299725508,-1.1593809125122796,6.953430374880184e-11,-7.967120755849773,-2.0571017336419746,6.515773286578901e-09
S100A14,Q9HCY8,Protein S100-A14 OS=Homo sapiens OX=9606 GN=S100A14 PE=1 SV=1,20.554142782725698,22.505910088159585,-1.9517673054338864,2.0564136711834942e-21,-14.844460234772702,-3.832823151514195,8.189667445488265e-19
LANCL1,O43813,Glutathione S-transferase LANCL1 OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1,17.80474453961851,19.453859677895384,-1.6491151382768727,3.168910657637459e-06,-5.157372483346953,-1.3316278492127425,0.00015775233367551475
PARP1,P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,21.167005348070152,23.14195363896034,-1.9749482908901896,2.126878850766449e-08,-6.486077358607377,-1.6746979728066245,1.6133895282242634e-06
GRN,P28799,Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2,22.72395629642994,23.2074120010675,-0.48345570463756005,0.0025812069957379816,-3.1500165446900685,-0.8133307745241646,0.048450761320309524
CRABP2,P29373,Cellular retinoic acid-binding protein 2 OS=Homo sapiens OX=9606 GN=CRABP2 PE=1 SV=2,23.02757226261593,20.898596889591285,2.1289753730246446,3.593668214004542e-12,8.738276558642118,2.2562133057450384,4.403625742237873e-10
NUCKS1,Q9H1E3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,17.094782138213354,21.600436147609926,-4.505654009396572,5.090859496470918e-25,-17.670828939464748,-4.562588413081802,2.7032463926260574e-22
SIPA1L2,A0A6Q8PFQ0,Signal induced proliferation associated 1 like 2 OS=Homo sapiens OX=9606 GN=SIPA1L2 PE=1 SV=1,23.61176783792852,22.065619850091352,1.5461479878371698,4.627152209019101e-12,8.672126546906664,2.2391334461581827,5.265038192119591e-10
MGAM,O43451,Maltase-glucoamylase OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=6,17.501334414160134,20.27572413792058,-2.7743897237604465,9.202093446235592e-14,-9.707939572449401,-2.506579219338965,1.2215779049877749e-11
EIF2AK2,P19525,"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2",20.799248835094296,18.112880154736857,2.6863686803574396,1.4909749667781098e-15,10.829461637950757,2.7961549714783582,2.6390256911972543e-13
SNRPF,P62306,Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1,17.07514753716411,18.26435462987386,-1.1892070927097507,0.001012646638833446,-3.462241802797436,-0.8939469895185076,0.02520540774471374
DOCK10,A0A2R8YD85,Dedicator of cytokinesis 10 OS=Homo sapiens OX=9606 GN=DOCK10 PE=1 SV=1,20.868831900274756,18.315417369936725,2.5534145303380313,8.171533584182757e-12,8.523570260736683,2.2007763780041327,8.678168666402088e-10
MKI67,P46013,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,21.005703973703532,19.40652124639003,1.5991827273135009,0.0003305145302967717,3.817100382281098,0.9855710807584438,0.00940195797790638
HLA-DRB5,Q30154,"HLA class II histocompatibility antigen, DR beta 5 chain OS=Homo sapiens OX=9606 GN=HLA-DRB5 PE=1 SV=1",20.69843297521134,19.0609815980415,1.637451377169839,1.2864184617187839e-05,4.769353357253334,1.2314417416547063,0.0005855041741480065
PREX1,Q8TCU6,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein OS=Homo sapiens OX=9606 GN=PREX1 PE=1 SV=3",18.22073833065026,14.75292485776937,3.4678134728808896,8.659057098963958e-07,5.508728759289276,1.4223476495667475,5.108843688388735e-05
HARBI1,Q96MB7,Putative nuclease HARBI1 OS=Homo sapiens OX=9606 GN=HARBI1 PE=1 SV=1,18.058692158485936,19.822358206441194,-1.7636660479552582,0.0004078166724522637,-3.7518172317914273,-0.968715043782814,0.01087709245072137
KPNA4,O00629,Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1,20.38633197563886,17.094730595014546,3.2916013806243143,2.118801311687893e-10,7.678823260923291,1.982663640535069,1.83063118451614e-08
SAMD9,Q5K651,Sterile alpha motif domain-containing protein 9 OS=Homo sapiens OX=9606 GN=SAMD9 PE=1 SV=1,22.19977502217892,19.570935225357104,2.628839796821815,6.846053008038028e-19,13.040835970472406,3.367129368950818,1.5579660631149398e-16
